time,x,y,z
660095,0.7278,0.4214,9.8067,
660145,0.7278,0.4405,9.7875,
660195,0.7087,0.4405,9.8067,
660246,0.7278,0.4405,9.8067,
660295,0.7278,0.4405,9.8067,
660345,0.7278,0.4214,9.8067,
660395,0.7278,0.4405,9.8067,
660446,0.7278,0.4405,9.8258,
660495,0.7278,0.4405,9.8067,
660545,0.7278,0.4405,9.8067,
660595,0.7278,0.4405,9.8067,
660646,0.7278,0.4405,9.7875,
660695,0.7087,0.4405,9.8067,
660745,0.7278,0.4405,9.7875,
660795,0.7278,0.4597,9.8067,
660846,0.7278,0.4405,9.8067,
660895,0.7278,0.4405,9.8067,
660945,0.7278,0.4405,9.8067,
660995,0.7278,0.4405,9.8258,
661043,0.7278,0.4214,9.8067,
661094,0.7087,0.4214,9.8067,
661145,0.7087,0.4405,9.8067,
661194,0.7278,0.4405,9.8067,
661246,0.7087,0.4405,9.8067,
661295,0.7278,0.4405,9.8067,
661345,0.7278,0.4405,9.8067,
661395,0.7087,0.4405,9.7875,
661446,0.7278,0.4405,9.8067,
661494,0.7278,0.4597,9.7875,
661545,0.7087,0.4405,9.8258,
661595,0.7087,0.4405,9.8067,
661646,0.7087,0.4405,9.8067,
